3.000000	4.919
3.150000	4.919
3.350000	4.919
3.550000	4.919
3.750000	4.919
4.000000	4.919
4.250000	4.919
4.500000	4.919
4.750000	4.919
5.000000	4.919
5.300000	4.919
5.600000	4.919
6.000000	4.919
6.300000	4.919
6.700000	4.919
7.100000	4.919
7.500000	4.919
8.000000	4.919
8.500000	4.919
9.000000	4.919
9.500000	4.919
10.000000	4.919
10.600000	4.919
11.200000	4.919
11.800000	4.919
12.500000	4.919
13.200000	4.919
14.000000	4.919
15.000000	4.919
16.000000	4.919
17.000000	4.919
18.000000	4.918
19.000000	4.916
20.000000	4.914
21.200001	4.910
22.400000	4.906
23.600000	4.899
25.000000	4.887
26.500000	4.866
28.000000	4.835
30.000000	4.772
31.500000	4.705
33.500000	4.594
35.500000	4.460
37.500000	4.313
40.000000	4.118
42.500000	3.921
45.000000	3.727
47.500000	3.542
50.000000	3.364
53.000000	3.162
56.000000	2.970
60.000000	2.733
63.000000	2.567
67.000000	2.360
71.000000	2.169
75.000000	1.994
80.000000	1.795
85.000000	1.618
90.000000	1.460
95.000000	1.322
100.000000	1.201
106.000000	1.074
112.000000	0.965
118.000000	0.871
125.000000	0.781
132.000000	0.706
140.000000	0.637
150.000000	0.570
160.000000	0.517
170.000000	0.473
180.000000	0.433
190.000000	0.396
200.000000	0.359
212.000000	0.317
224.000000	0.276
236.000000	0.240
250.000000	0.202
265.000000	0.168
280.000000	0.139
300.000000	0.109
315.000000	0.090
335.000000	0.071
355.000000	0.057
375.000000	0.047
400.000000	0.038
425.000000	0.034
450.000000	0.033
475.000000	0.034
500.000000	0.036
530.000000	0.037
560.000000	0.035
600.000000	0.024
630.000000	0.011
670.000000	-0.011
710.000000	-0.039
750.000000	-0.068
800.000000	-0.103
850.000000	-0.136
900.000000	-0.168
950.000000	-0.199
1000.000000	-0.229
1060.000000	-0.265
1120.000000	-0.299
1180.000000	-0.332
1250.000000	-0.370
1320.000000	-0.406
1400.000000	-0.446
1500.000000	-0.494
1600.000000	-0.539
1700.000000	-0.582
1800.000000	-0.623
1900.000000	-0.662
2000.000000	-0.699
2120.000000	-0.741
2240.000000	-0.782
2360.000000	-0.820
2500.000000	-0.862
2650.000000	-0.905
2800.000000	-0.947
3000.000000	-0.998
3150.000000	-1.035
3350.000000	-1.081
3550.000000	-1.125
3750.000000	-1.166
4000.000000	-1.214
4250.000000	-1.259
4500.000000	-1.302
4750.000000	-1.342
5000.000000	-1.380
5300.000000	-1.423
5600.000000	-1.463
6000.000000	-1.512
6300.000000	-1.546
6700.000000	-1.588
7100.000000	-1.628
7500.000000	-1.664
8000.000000	-1.705
8500.000000	-1.743
9000.000000	-1.778
9500.000000	-1.810
10000.000000	-1.839
10600.000000	-1.871
11200.000000	-1.901
11800.000000	-1.928
12500.000000	-1.957
13200.000000	-1.984
14000.000000	-2.012
15000.000000	-2.042
16000.000000	-2.065
17000.000000	-2.084
18000.000000	-2.099
19000.000000	-2.105
20000.000000	-2.104
21200.000000	-2.103
22400.000000	-2.105
23600.000000	-2.109
